tile_path,mask_path,county,label
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_10_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_10_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_11_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_11_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_13_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_13_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_14_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_14_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_15_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_15_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_15_2_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_15_2_1.tif,Augmented,0
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_16_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_16_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_18_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_18_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_19_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_19_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_1_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_1_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_20_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_20_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_21_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_21_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_22_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_22_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_23_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_23_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_24_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_24_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_25_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_25_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_26_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_26_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_28_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_28_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_29_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_29_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_2_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_2_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_30_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_30_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_3_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_3_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_4_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_4_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_4_1_2.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_4_1_2.tif,Augmented,0
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_5_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_5_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_6_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_6_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_7_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_7_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_8_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_8_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_9_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_9_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_LiangshanYi_augmentation_2_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_LiangshanYi_augmentation_2_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_LiangshanYi_augmentation_36_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_LiangshanYi_augmentation_36_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_LiangshanYi_augmentation_37_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_LiangshanYi_augmentation_37_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_LiangshanYi_augmentation_38_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_LiangshanYi_augmentation_38_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_LiangshanYi_augmentation_39_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_LiangshanYi_augmentation_39_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_LiangshanYi_augmentation_3_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_LiangshanYi_augmentation_3_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_LiangshanYi_augmentation_3_2_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_LiangshanYi_augmentation_3_2_1.tif,Augmented,0
D:\solar-data-china\tiles\Augmented_with_indices\s2_LiangshanYi_augmentation_40_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_LiangshanYi_augmentation_40_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_LiangshanYi_augmentation_5_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_LiangshanYi_augmentation_5_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_LiangshanYi_augmentation_6_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_LiangshanYi_augmentation_6_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_LiangshanYi_augmentation_7_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_LiangshanYi_augmentation_7_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_LiangshanYi_augmentation_8_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_LiangshanYi_augmentation_8_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Loudi_augmentation_0_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Loudi_augmentation_0_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_10_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_10_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_11_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_11_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_12_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_12_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_13_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_13_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_14_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_14_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_15_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_15_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_16_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_16_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_17_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_17_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_18_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_18_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_19_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_19_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_20_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_20_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_21_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_21_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_22_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_22_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_23_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_23_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_24_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_24_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_25_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_25_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_26_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_26_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_27_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_27_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_28_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_28_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_2_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_2_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_31_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_31_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_32_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_32_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_33_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_33_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_34_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_34_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_35_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_35_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_36_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_36_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_37_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_37_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_38_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_38_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_39_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_39_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_3_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_3_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_40_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_40_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_41_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_41_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_42_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_42_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_43_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_43_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_44_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_44_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_45_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_45_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_46_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_46_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_47_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_47_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_48_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_48_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_49_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_49_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_4_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_4_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_50_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_50_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_51_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_51_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_56_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_56_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_57_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_57_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_58_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_58_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_6_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_6_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_7_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_7_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_8_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_8_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_9_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_9_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Qingyang_augmentation_0_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Qingyang_augmentation_0_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Qingyang_augmentation_1_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Qingyang_augmentation_1_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinxiang_augmentation_0_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinxiang_augmentation_0_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinxiang_augmentation_10_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinxiang_augmentation_10_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinxiang_augmentation_11_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinxiang_augmentation_11_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinxiang_augmentation_12_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinxiang_augmentation_12_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinxiang_augmentation_13_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinxiang_augmentation_13_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinxiang_augmentation_14_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinxiang_augmentation_14_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinxiang_augmentation_15_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinxiang_augmentation_15_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinxiang_augmentation_16_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinxiang_augmentation_16_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinxiang_augmentation_17_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinxiang_augmentation_17_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinxiang_augmentation_1_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinxiang_augmentation_1_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinxiang_augmentation_2_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinxiang_augmentation_2_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinxiang_augmentation_3_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinxiang_augmentation_3_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinxiang_augmentation_4_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinxiang_augmentation_4_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinxiang_augmentation_5_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinxiang_augmentation_5_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinxiang_augmentation_6_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinxiang_augmentation_6_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinxiang_augmentation_7_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinxiang_augmentation_7_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinxiang_augmentation_8_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinxiang_augmentation_8_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinxiang_augmentation_9_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinxiang_augmentation_9_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinyang_augmentation_6_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinyang_augmentation_6_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinyang_augmentation_7_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinyang_augmentation_7_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinyang_augmentation_8_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinyang_augmentation_8_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinyang_augmentation_9_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinyang_augmentation_9_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Zhangjiakou_augmentation_10_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Zhangjiakou_augmentation_10_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Zhangjiakou_augmentation_11_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Zhangjiakou_augmentation_11_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Zhangjiakou_augmentation_12_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Zhangjiakou_augmentation_12_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Zhangjiakou_augmentation_13_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Zhangjiakou_augmentation_13_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Zhangjiakou_augmentation_14_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Zhangjiakou_augmentation_14_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Zhangjiakou_augmentation_15_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Zhangjiakou_augmentation_15_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Zhangjiakou_augmentation_16_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Zhangjiakou_augmentation_16_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Zhangjiakou_augmentation_19_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Zhangjiakou_augmentation_19_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Zhangjiakou_augmentation_1_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Zhangjiakou_augmentation_1_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Zhangjiakou_augmentation_1_1_2.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Zhangjiakou_augmentation_1_1_2.tif,Augmented,0
D:\solar-data-china\tiles\Augmented_with_indices\s2_Zhangjiakou_augmentation_20_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Zhangjiakou_augmentation_20_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Zhangjiakou_augmentation_3_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Zhangjiakou_augmentation_3_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Zhangjiakou_augmentation_4_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Zhangjiakou_augmentation_4_1_1.tif,Augmented,1
